Organization,Project ID,IPC,Project Title,Project Description,Project Activities,Additional Information,Est Start Date,Est End Date,Budget,Cluster(s),Sectors,IA Sector(s),Cross-Cutting Issue(s),Implementing Organization(s),Partner Organization(s),Donor(s),Awardee Type,Number of People Reached (target),Calculation of Number of People Reached,Target Group(s),Country,_1st Administrative Level,_2nd Administrative Level,_3rd Administrative Level,City/Village,IDP/Refugee Camp,Latitude,Longitude,Contact Name,Contact Title,Contact E-mail,Website,Date Provided,Date Updated,Project Needs
Direct Relief International,Grant 4,DRI-HT-10-Grant 4,Community Grant Program,Conduct survey of all families in town and provide psychosocial support,,,5/5/2010,5/5/2011,"$25,000 ",Health,,Health,,Bureau de Doléances Sociales (BDS),,Private donations,," 6,000 ",,,Haiti,Ouest,Port-au-Prince,Carrefour ,,,,,,,,,,,
Direct Relief International,Grant 5,DRI-HT-10-Grant 5,Community Grant Program,Rebuild library/community center,,,5/5/2010,5/5/2011,"$50,000 ",Education,,Education,,Bibliotheque du Soleil,,Private donations,, 400 ,,,Haiti,Ouest,Port-au-Prince,Carrefour ,,,,,,,,,,,
Direct Relief International,Grant 6,DRI-HT-10-Grant 6,Community Grant Program,Establish feeding program for new students,,,6/7/2010,6/7/2011,"$25,000 ",Food Security,,Food Aid,,Gawou Ginou School,,Private donations,, 350 ,,,Haiti,Centre,Mirebalais,Mirebalais,,,,,,,,,,,
Direct Relief International,Grant 7,DRI-HT-10-Grant 7,Community Grant Program,Build clinic in Jacmel; send medical staff to work in clinics; purchase medical equipment,,,6/7/2010,12/7/2011,"$25,000 ",Health,,Health,,Angel Wings International,,Private donations,," 3,640 ",,,Haiti,Sud-Est,Jacmel,Jacmel,,,,,,,,,,,
Direct Relief International,Grant 8,DRI-HT-10-Grant 8,Community Grant Program,"Provide medical care at clinic; hold annual medical fair, rebuild school in temporary site",,,6/7/2010,12/7/2011,"$25,000 ",Health,,Health,,Friends of Petit Goave,,Private donations,," 10,000 ",,,Haiti,Ouest,Léogâne,Petit-Goâve,,,,,,,,,,,
Direct Relief International,Grant 9,DRI-HT-10-Grant 9,Community Grant Program,Provide psychological support in local clinic,,,7/7/2010,7/7/2011,"$25,000 ",Health,,Health,,Foundation Hope for Haiti,,Private donations,," 15,000 ",,,Haiti,Ouest,Croix-des-Bouquets,Thomazeau,,,,,,,,,,,
Episcopal Relief & Development,1,ERD-HT-10-001,Haiti Relief Programming - Léogâne,"Episcopal Relief & Development has supported its Haitian partners, the Episcopal Diocese of Haiti and the Diocese’s relief and development are known as CEDDISEC (Centre Diocesain de Development Integre et de Secours) in their efforts to determine the extent of the damage and coordinate a swift response. The agency has disbursed emergency relief & recovery funds to the Diocese of Haiti to help them meet the immediate health, food, temporary shelter, water, and non-food item needs of over 60,000 individuals throughout the Department of the West.",,,1/12/2010,8/31/2010,,"Food Security and Agriculture, Health, Shelter and Non-Food Items",,Disaster Management,,"Episcopal Diocese of Haiti, Centre Diocésain de Développement Intégré et de Secours (CEDDISEC)",,Private donations,," 63,500 ",,"Internally displaced persons (IDPs), Vulnerable people/populations",Haiti,"Ouest, Sud-Est","Bainet, Croix-des-Bouquets, Jacmel, Léogâne, Port-au-Prince","Bainet, Carrefour, Croix-des-Bouquets, Grand-Gôave, Gressier, Jacmel, Léogâne, Port-au-Prince",,,,,Tammi Mott,Haiti Recovery Program,tmott@er-d.org,,17-May-10,13-Sep-10,
Episcopal Relief & Development,2,ERD-HT-10-002,Economic Independence & Community Recovery,"In line with national efforts, Episcopal Relief & Development’s national partner, CEDDISEC, has launched a “Cash for Work” program that not only creates employment and increases household economic independence, but also provides opportunities for the leadership and participation of Haitians in community-based recovery efforts. Giving people a voice and a sense of control in their own recovery and future is an important first step on the road to reducing stress and facilitating sustainable development.  Creating both cash and pride at the community level, the program methodology encourages community-based committees to identify and lead their community’s recovery projects; thus giving people the opportunity to make decisions as well as identify program participants. Program objectives are:  1) To provide immediate support toward economic independence to at least 4,768 individuals (directly), and thus an estimated 23,840 individuals/family members (indirectly), with an intentional effort to include women; 2) To restore a sense of structure, and to reduce stress and violence through the creation of 140+ Cash for Work projects that provide at least US$100 in wages/worker through 20-days of short-term work in community-identified, parish-led projects; and 3) To support the engagement of Haitians and Episcopal Parishes of the Episcopal Diocese of Haiti in community-based recovery. Some of the types of community recovery projects being identified and supported are: rubble removal; rehabilitation of local markets, clinics, schools and churches; sanitation campaigns; hurricane preparedness and response through rebuilding of roads and ditches; and special assistance for vulnerable community members.",,,5/1/2010,4/1/2011,,Early Recovery,,Economic Recovery and Development,Gender,"Episcopal Diocese of Haiti, Centre Diocésain de Développement Intégré et de Secours (CEDDISEC)","Parish of St. Matthieu in Matthieu, Mission of Latournelle, Mission of Campan, Missions of Jean-Jean, Mission of Petit Boucan, Parish of Ascension of Thor, Mission of Morin, Tmission of Taifer, Station of Tiguinin, Mission of Diguinin, Mission of Poucy",Private donations,," 4,889 ",,"Internally displaced persons (IDPs), Vulnerable people/populations, University Students",Haiti,"Artibonite, Centre, Grand'Anse, Nippes, Ouest, Sud, Sud-Est","Anse-à-Veau, Aquin, Arcahaie, Bainet, Croix-des-Bouquets, Gonaïves, Jacmel, Jérémie, La Gonave, Lascahobas, Léogâne, Les Cayes, Port-au-Prince","Anse-à-Galets, Anse-à-Veau, Arcahaie, Bainet, Carrefour, Cavaellon, Chantal, Croix-des-Bouquets, Delmas, Gonaïves, Grand-Gôave, Gressier, Jacmel, Jérémie, Lascahobas, Léogâne, Les Cayes, Port-au-Prince, Thomazeau, Torbeck",,,,,Tammi Mott,Haiti Recovery Program,tmott@er-d.org,,13-Sep-10,10-Dec-10,
Episcopal Relief & Development,3,ERD-HT-10-003,Provisional Home,"In line with the philosophy that development begins with individual and community participation and choice, the overarching goal of the Provisional Home program is to create opportunities for individual and community participation in home construction; thus encouraging an individual’s sense of ownership of his/her home and work, versus being a beneficiary of someone else’s project. In designated locations, Episcopal priests and community committees work in collaboration with local authorities (Casecs) to identify both the families in need of immediate provisional housing, as well as construction workers (skilled and unskilled).  Program staff work alongside these individuals to build the initial houses as well as train the local construction teams on the important security, durability, and utility characteristics of the CEDDISEC provisional home.  The 18.15m2 model includes a reinforced wooden frame, raised brick foundation, concrete floors, tin roofing, plywood walls, interior and exterior painting, exterior latrine and shower, and insecticide-treated bed nets.  The objectives for the current phase of the Provisional Home program are: 1) To restore a sense of physical and emotional security to 200 homeless families through the construction of one provisional home per family; 2) To improve household privacy, health, sanitation, and hygiene through the construction of an outdoor shower and latrine, and the provision of 2 insecticide-treated mosquito nets per provisional home/family; and 3) To create short-term economic independence for 500 individuals through the creation of over 42,000 hours of employment (5-6 workers for 5-7 days/home) during the construction of 200 provisional homes.",,,7/1/2010,4/1/2011,,"Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Shelter and Housing, Water Sanitation and Hygiene",Gender,"Episcopal Diocese of Haiti, Centre Diocésain de Développement Intégré et de Secours (CEDDISEC)","Parish of St. Mattheiu in Mattieu, Parish of Annunciation in Darbonne, Parish of Ascension de Thor in Carrefour, Parish of St. Marc in Trouin, Mission of Petit Harpon, Parish of Ste. Croix in Léogâne-ville, Parish of St. Etienne in Buteau, Parish of Epiphanie in L'Acul, Parish of St. Matthias in Grande Colline","Primate's World Relief and Development Fund (PWRDF), Private donations",," 1,200 ",,"Internally displaced persons (IDPs), Vulnerable people/populations",Haiti,Ouest,"Léogâne, Port-au-Prince","Carrefour, Grand-Gôave, Gressier, Léogâne",,,,,Tammi Mott,Haiti Recovery Program,tmott@er-d.org,,13-Sep-10,10-Dec-10,
Episcopal Relief & Development,4,ERD-HT-10-004,Household & Public Sanitation,"Prior to January 2010, approximately half the population of Haiti did not have access to appropriate human waste technology.  Early in the response phase, Episcopal Relief & Development supported its partner, CEDDISEC, to reconstruct public latrines at 4 parish/Episcopal institutions throughout the Léogâne area where people were gathering in displacement camps. On-going sanitation work includes the reconstruction of damaged household latrines as well as the construction of new household and public latrines for rural populations. The objectives for the current phase of the Household & Public Sanitation program are: 1) To restore a sense of privacy and security to 200 families through the construction of household latrines and showers in conjunction with the construction of a provisional home; 2) To improve basic hygiene and sanitation in public spaces for an estimated 5,500 individuals (est. 1,100/community) through the construction of public latrines in 5 communities; and 3) To create short-term economic independence for 510 individuals through the creation of over 12,240 hours of employment (est. 2 workers for 4 days/latrine or shower).",,,2/1/2010,4/1/2011,,Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,"Episcopal Diocese of Haiti, Centre Diocésain de Développement Intégré et de Secours (CEDDISEC)","Parish of St. Mattheiu in Mattieu, Parish of Annunciation in Darbonne, Parish of Ascension de Thor in Carrefour, Parish of St. Marc in Trouin, Mission of Petit Harpon, Parish of Ste. Croix in Léogâne-ville, Parish of St. Etienne in Buteau, Parish of Epiphanie in L'Acul, Parish of St. Matthias in Grande Colline","Primate's World Relief and Development Fund (PWRDF), Private donations",," 6,700 ",,"Internally displaced persons (IDPs), Vulnerable people/populations",Haiti,Ouest,"Léogâne, Port-au-Prince","Carrefour, Grand-Gôave, Gressier, Léogâne",,,,,Tammi Mott,Haiti Recovery Program,tmott@er-d.org,,13-Sep-10,10-Dec-10,
Episcopal Relief & Development,5,ERD-HT-10-005,Health Care,"In the aftermath of the January 12th disaster, Episcopal Relief & Development has been working closely with the Episcopal Diocese of Haiti to support health-related emergency response and recovery activities.  This has included previous (Jan-May) support for 203 mobile medical clinics in 67+ rural communities of the Department of the West that served over 42,000 patients, as well as on-going operating support for the reconstitution of permanent health education and medical care at the Episcopal hospital, Hôpital Sainte Croix (HSC), in Léogâne-ville. The objectives of current work at the Episcopal hospital include: 1) To support ongoing operational costs for HSC to deliver outpatient care to 200 patients per day and inpatient care to up to 24 patients per day; 2) To invest in the re-staffing and equipping of the hospital; and 3) To support the Diocese in developing a long-term management plan for its health institutions.",,,6/1/2010,4/1/2011,,Health,,Health,,Episcopal Diocese of Haiti,"KonTerra Group, Medical Benevolance Foundation-Presbyterian Church (USA)",Private donations,," 28,000 ",,Affected population(s),Haiti,Ouest,Léogâne,Léogâne,,,,,Kirsten Laursen-Muth,Sr. Dir. International Programs,klmuth@er-d.org,,13-Sep-10,10-Dec-10,
Episcopal Relief & Development,6,ERD-HT-10-006,Cholera Prevention Education,"In response to the cholera outbreak that began in mid-October, Episcopal Relief & Development supported CEDDISEC’s efforts to bring clean water to areas where water sources had the possibility of becoming contaminated. CEDDISEC also led an education initiative on cholera prevention and water purification techniques in 16 parishes throughout the Department of the West and South, as well as in 18 informal urban tent camps in Port-au-Prince, Delmas, and Petion-ville. 13 health advocates were trained and mobilized to give lessons and hand out pamphlets on proper hygiene, hand washing, waste disposal and disinfection of contaminated areas. Health advocates were also charged with the distribution of clean water, water purification tablets, Clorox, and soap, as well as oral rehydration salts.  As of mid-December, over 23,550 families in Episcopal parishes, schools, community settings, and urban tent camps had been reached with hygiene education and health care supplies.",,,11/1/2010,1/31/2011,,"Health, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",,"Episcopal Diocese of Haiti, Centre Diocésain de Développement Intégré et de Secours (CEDDISEC)","Parish of St. Mattheiu in Mattieu, Parish of Ascension de Thor in Carrefour, Mission in Taifer, Parish of St. Marc in Trouin, IMA World Health, Parish of Ste. Croix in Léogâne-ville, Parish of Epiphanie in L'Acul, Parish of St. Matthias in Grande Colline, Parish of St. Paul in Torbeck, Mission of Beraud, Parish of St. Thomas in Arcahaie, Mission of Léger, College St. Pierre, Parish of Notre Dame in PaP, Convent of Ste. Marguerite, Cathedral of Ste. Trinity, Mission of Thomazeau, Parish of St. Simeon in Croix-des-Bouquets, Missions of Lascahobas",Private donations,," 141,300 ",,"Internally displaced persons (IDPs), Vulnerable people/populations",Haiti,"Centre, Ouest, Sud","Arcahaie, Croix-des-Bouquets, Lascahobas, Léogâne, Les Cayes, Port-au-Prince","Arcahaie, Carrefour, Croix-des-Bouquets, Delmas, Grand-Gôave, Lascahobas, Léogâne, Pétionville, Port-au-Prince, Thomazeau, Torbeck",,,,,Tammi Mott,Haiti Recovery Program,tmott@er-d.org,,10-Dec-10,,
Episcopal Relief & Development,7,ERD-HT-10-007,Bishop Tharp Institute,"School overcrowding and low public expenditure on education from the primary level up to the university level have contributed to the low quality of education in Haiti. As a result, most graduates of secondary school are ill-prepared and presented with few opportunities to compete in a modern global economy that stresses information literacy, independent problem solving, and collaborative decision making.  The Bishop Tharp Business and Technology Institute (BTI) is an Episcopal community college located in the southwestern city of Les Cayes.  BTI addresses youth’s education needs by training young people in key business management skills through a two-year curriculum emphasizing business administration, language, and computer skills. Since 2006, Episcopal Relief & Development has been providing operating support for BTI. The current objectives include: 1) To support BTI’s administration of Community College-level teaching in business and technology skills to an estimated 250 youth; and 2) To support BTI infrastructure and maintain the capacity of BTI teachers and staff.",,,1/1/2006,12/31/2011,,Education,,Education,,Episcopal Diocese of Haiti,,Private donations,, 400 ,,University students,Haiti,Sud,Les Cayes,Les Cayes,,,,,Matthew St. John,Program Officer,mstjohn@er-d.org,,17-May-10,10-Dec-10,
Episcopal Relief & Development,8,ERD-HT-10-008,Agro-forestry Program,"Two-thirds of all Haitians depend on the agriculture sector, mainly small-scale subsistence farming, for food security and income. Extreme soil erosion and deforestation, combined with the devastating impact of the January 12th earthquake, have resulted in Haiti having one of the most disadvantageous environments and economies in the world. Haiti faces a significant structural food deficit, and malnutrition is widespread. This agriculture and environmental program focuses on improving the food production of peasant populations through a diversified reforestation, gardening, and agro-forestry program.  In this way, the program addresses both the short-term food needs of the people and the long-term environmental needs to prevent soil erosion in mountainous areas.  Working with the farmers’ association, CODEP, in the Léogâne and Grand-Gôave communes, this program’s objectives are: 1) To promote soil stabilization through the establishment of 140 miles of hedgerow terraces on mountainsides; 2) To combat deforestation through training and planting of up to 1,000,000 trees; and 3) To improve household food diversity through the establishment of household vegetable gardens.",,,7/1/2006,12/31/2011,,Food Security and Agriculture,,"Agriculture, Environment",Livelihoods,Comprehensive Development Project (CODEP),Haiti Fund Inc.,Private donations,," 3,000 ",,Farmers,Haiti,Ouest,Léogâne,Léogâne,,,,,Matthew St. John,Program Officer,mstjohn@er-d.org,,17-May-10,10-Dec-10,
Food for the Hungry,1,FH-HT-10-001,Haiti Earthquake Recovery Program,"FH has been registered with the Haitian Government as an International NGO to operate in Haiti since 1986.  Prior to the January 12 earthquake, FH’s operations focused on health programs in the Delmas, the urban slums of Petionville (including Bois Moquette and Jalousie), and rural communities in Bellevue la Montagne.  FH maintains a PLHA Center on Delmas 68 through its USAID-funded POP and CHAMP programs that has provided hygiene kits, home reparation, food, microcredit, tuition, vocational school, and home-based care training for more than 600 PLHAs for the past two years.   Since the January 12th earthquake, FH is responding in the five communities detailed, providing relief in the areas of shelter, WASH, health and protection.",,,1/15/2010,3/31/2011,"$1,500,000","Protection, Water Sanitation and Hygiene",,"Health, Protection, Shelter and Housing, Water Sanitation and Hygiene",,Food for the Hungry Haiti,,"Office of Foreign Disaster Assistance (USAID/OFDA), United Nations Development Program (UNDP), Private donations",," 210,000 ",,Affected population(s),Haiti,"Centre, Ouest","Lascahobas, Port-au-Prince","Belladère, Kenscoff, Pétionville, Port-au-Prince",,,,,Walter Turnbull,Country Director,wturnbull@fh.org,,24-Sep-10,,
Friends of ACTED,41 AFU 20Z,ACTED-HT-10-41 AFU 20Z,Support to school reintegration of Haitian returnees from the Dominican Republic by obtaining personal IDs,"Appuyer la réinsertion scolaire de 500 enfants rapatriés par le biais de l’obtention de documents d’identité;
Sensibiliser la population et en particulier les parents, les autorités locales, les médias communautaires, les officiers d’état civil et les sages femmes à l’importance de l’identité comme moyen efficace de lutte contre le trafic et la traite des enfants.",,,1/1/2009,8/31/2010,"$27,755",Protection,,Protection,,Groupe d'Appui aux Rapatries & Refugies (GARR),,Conseil Régional Ile de France,, 746 ,,"Children, Caregivers",Haiti,Centre,Lascahobas,Lascahobas,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AIT,ACTED-HT-10-41 AIT,"Emergency improvement of living conditions of communities affected by Hanna and Ike in terms of water, sanitation and hygiene","Améliorer les conditions de vie en matière d’eau, d’assainissement et d’hygiène tout en réduisant les effets hydro-sanitaires néfastes des catastrophes naturelles liées à la saison cyclonique à venir pour la 5ème section communale de Saint Marc et pour les communes de Desdunes et de Grande-Saline. Distribution de filtres à sable, construction de latrines et d’impluviums, mise en place et formation de comités communautaires, sensibilisation à l’hygiène.",,,9/11/2009,6/30/2010,"$100,285",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,UNICEF,," 3,028 ",,"Affected population(s), Children",Haiti,Artibonite,"Dessalines, Saint-Marc","Desdunes, Grande Saline, Saint-Marc",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AJE 18X,ACTED-HT-10-41 AJE 18X,"Malnutrition and multi-morbidity prevalence reduction through the improvement of the offer and access to nutritional tratments, water and sanitation","Objectif specifique:Réduire la prévalence de la multi-morbidité à travers l’amélioration de l’offre et de l’accès aux soins nutritionnels ainsi que de la situation en matière sanitaire et eau potable, avec un accent particulier sur la santé materno-infantile. Resultat 1: Le dispositif communautaire et institutionnel de prévention, identification,  référencement, prise en charge et suivi de la malnutrition est amélioré. Resultat 2: L’assainissement et l’accès à l’eau potable  sont améliorés ce qui permet de réduire la prévalence des maladies hydriques. Resultat 3 : La population bénéficie d’un accès amélioré aux services de santé primaire. Resultat 4 : La vulnérabilité de la population cible aux risques d’inondations est réduite.",,,1/9/2009,12/30/2010,"$348,500","Nutrition, Water Sanitation and Hygiene",,"Health, Water Sanitation and Hygiene",Nutrition,"Friends of ACTED, Zanmi Lasante (ZL)",,ECHO,," 6,855 ",,Vulnerable people/populations,Haiti,Artibonite,"Dessalines, Gonaïves","Dessalines, Estère, Petite Rivière de l'Artibonite",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AKW 56Z,ACTED-HT-10-41 AKW 56Z,Supporting Relief and Rebuilding Efforts,"To support the delivery of emergency assistance to the populations affected by the earthquake, including distributions of emergency shelter kits and tents.",,,1/21/2010,8/31/2010,"$250,000",Shelter and Non-Food Items,,Shelter and Housing,,Friends of ACTED,,The Clinton Foundation,," 2,500 ",,Affected population(s),Haiti,Ouest,"Léogâne, Port-au-Prince","Léogâne, Port-au-Prince",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AKX 57Z,ACTED-HT-10-41 AKX 57Z,Revival of Livelihoods of Earthquake Affected Populations,"To provide emergency sources of income for population most affected by the earthquake and allow for a resumption of normal livelihoods patterns. ACTED proposes a multi-sectoral intervention that responds to the immediate needs of affected populations through direct provision of services and items, as well as the injection of cash into communities through cash-for work schemes. This watsan & early recovery intervention is hence part of such multi-sectoral programme (ref. Shelter & NFIs and Food Aid clusters).",,,1/21/2010,10/31/2010,"$92,250",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,Disaster risk reduction (DRR),Friends of ACTED,,People in Need (PIN),," 7,200 ",,Affected population(s),Haiti,Ouest,Port-au-Prince,"Port-au-Prince, Tabarre",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AKY RE,ACTED-HT-10-41 AKY RE,Emergency Support to Earthquake Affected Populations,"ACTED propose de mettre en œuvre une intervention visant à répondre aux besoins immédiats des populations touchées par la distribution directe et la mise en place d’infrastructures d’hygiène et d’approvisionnement en eau et assainissement. Elle prévoit notamment l’injection rapide de liquidités dans l’économie locale par le biais d’un programme de travail contre paiement et la constrution d'abris transitionnels. Les activités proposées à la Fondation de France permettront de compléter les autres interventions d’ACTED prévues et en cours, notamment la distribution de nourriture, la distribution de biens non alimentaires et les kits d’abris provenant d’autres sources citées ci-dessus, ainsi que des activités d’eau et d’assainissement avec UNICEF notamment.",,,1/21/2010,1/20/2011,"$615,000","Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Shelter and Housing, Water Sanitation and Hygiene",Disaster risk reduction (DRR),Friends of ACTED,,Fondation de France,," 12,900 ",,Affected population(s),Haiti,"Ouest, Sud-Est","Jacmel, Port-au-Prince","Jacmel, Port-au-Prince",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AKZ 58Z,ACTED-HT-10-41 AKZ 58Z,Emergency Support to Earthquake Affected Populations # 2,"L’objectif spécifique de ce projet est d’apporter une aide d’urgence en matière d’eau et d’assainissement tout en réduisant les effets hydro-sanitaires néfastes sur la population cible de la zone de cette crise Dans cette période de première urgence le projet a pour objectif de répondre immédiatement aux besoins de première nécessité des populations victimes de la catastrophe et de contribuer à améliorer rapidement les conditions de vie des familles les plus démunies dans la zone, qu’elles soient déplacées en famille d’accueil, ou restées chez elles. .Ce projet fait partie intégrante d’une opération de grande envergure lancée par ACTED dans le cadre de cette urgence avec ses partenaires de mise en oeuvre ShelterBox UK, Alliance 2015 et ses partenaires institutionnels.",,,1/13/2010,12/13/2010,"$30,750",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,Ville de Paris,," 6,250 ",,Affected population(s),Haiti,Ouest,"Léogâne, Port-au-Prince","Léogâne, Port-au-Prince",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ALD AL,ACTED-HT-10-41 ALD AL,Provision of Emergency Relief to Earthquake Affected Populations,"L’objectif spécifique de ce projet est d’apporter une aide d’urgence en matière d’eau et d’assainissement tout en réduisant les effets hydro-sanitaires néfastes sur la population cible de la zone de cette crise Dans cette période de première urgence le projet a pour objectif de répondre immédiatement aux besoins de première nécessité des populations victimes de la catastrophe et de contribuer à améliorer rapidement les conditions de vie des familles les plus démunies dans la zone, qu’elles soient déplacées en famille d’accueil, ou restées chez elles. .Ce projet fait partie intégrante d’une opération de grande envergure lancée par ACTED dans le cadre de cette urgence avec ses partenaires de mise en oeuvre ShelterBox UK, Alliance 2015 et ses partenaires institutionnels.",,,1/13/2010,1/12/2011,"$592,505","Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Shelter and Housing, Water Sanitation and Hygiene",Disaster risk reduction (DRR),Friends of ACTED,,UK Department for International Development (DFID),," 30,000 ",,Affected population(s),Haiti,Ouest,Léogâne,Léogâne,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ALI 32O,ACTED-HT-10-41 ALI 32O,Provision of Emergency Relief to Earthquake Affected Populations # 2,"The proposed project addresses the immediate needs of 64,000 individuals through provision of: emergency shelter; NFIs (in cooperation with IOM, UNICEF and Shelter Box); water and sanitation facilities and hygiene promotion and kits. In parallel, a cash-for-work scheme will provide them with purchasing power, supporting the early recovery of local markets.",,,1/13/2010,1/12/2011,"$5,500,000","Early Recovery, Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Shelter and Housing, Water Sanitation and Hygiene",Disaster risk reduction (DRR),Friends of ACTED,,Office of Foreign Disaster Assistance (USAID/OFDA),," 73,800 ",,"Affected population(s), Internally displaced persons (IDPs)",Haiti,Ouest,"Léogâne, Port-au-Prince","Léogâne, Port-au-Prince",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ALK NV,ACTED-HT-10-41 ALK NV,Emergency Support to Earthquake Affected Populations # 3,"Le présent projet consistait principalement des activités de drainage, d’assainissement et d’accès à l’eau aux bénéfices de 7 500 personnes vulnérables.",,,2/2/2010,7/31/2010,"$97,734",Water Sanitation and Hygiene,,Water Sanitation and Hygiene,,Friends of ACTED,,UNICEF,," 7,500 ",,Internally displaced persons (IDPs),Haiti,Sud-Est,Jacmel,Jacmel,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ALL,ACTED-HT-10-41 ALL,Distribution of Emergency Non-Food Items (NFIs),"Emergency distributions of NFIs (kitchen sets, hygiene kits, blankets, matrasses, mosquito nets, etc) to displaced people affected by the earthquake.",,,1/31/2010,,,Shelter and Non-Food Items,,Shelter and Housing,,Friends of ACTED,,"International Organization for Migration (IOM), UNICEF, Swiss Agency for Development and Cooperation (SDC), Shelterbox",," 20,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,,,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 ALS 28X,ACTED-HT-10-41 ALS 28X,Provision of Emergency Relief to Earthquake Affected Populations # 4,"To provide emergency relief to earthquake-affected populations in Haiti.
1. Earthquake-affected population have access to water and sanitation facilities and improved hygiene practices.
2. Earthquake-affected population benefit from improved emergency accommodation and living conditions.
3. Earthquake-affected populations benefit from rapid access to cash to resume their normal lives.",,,1/15/2010,7/14/2010,"$1,401,093","Shelter and Non-Food Items, Water Sanitation and Hygiene",,"Shelter and Housing, Water Sanitation and Hygiene",Disaster risk reduction (DRR),Friends of ACTED,,ECHO,," 21,800 ",,Affected population(s),Haiti,Ouest,"Léogâne, Port-au-Prince","Léogâne, Port-au-Prince",,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AMB 64Z,ACTED-HT-10-41 AMB 64Z,Emergency Shelter and Livelihood Support for Earthquake Affected Populations,"The project aimed at providing emergency shelters and income generation opportunities to earthquake affected population in Port-au-Prince as soon as February, 2010. On one hand, Cash for Work schemes offered a quick revival to the local economy through an increase in the purchasing power of affected people (thus allowing them to access urgent primary goods and commodities); it has been largely used for debris removal in and around camps. On the other hand, NFI and Shelter kit distributions provided basic equipment and protection to households in the camps, thus allowing the improvement of the living conditions in IDP camps.",,,2/28/2010,8/27/2010,"$307,500","Shelter and Non-Food Items, Water Sanitation and Hygiene",,Shelter and Housing,,Friends of ACTED,,People in Need (PIN),," 7,000 ",,Internally displaced persons (IDPs),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AME 23Y,ACTED-HT-10-41 AME 23Y,Massive Food Distributions - Surge 1,Emergency distributions of dry ratio of food to displaced people affected by the earthquake.,,,1/31/2010,2/28/2010,"$98,013",Food Security and Agriculture,,Food Aid,,Friends of ACTED,,World Food Program (WFP),," 427,692 ",,Affected population(s),Haiti,Ouest,Port-au-Prince,Port-au-Prince,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
Friends of ACTED,41 AMN 14I,ACTED-HT-10-41 AMN 14I,"Emergency Support to Agricultural Livelihoods of the Worst Affected Households in the Urban, Peri Urban and Rural IDP Host Areas","Fournir à 2 200 familles affectées par le tremblement de terre des intrants agricoles ainsi que supporter les activités 1 000 pêcheurs.
Assurer la sécurité alimentaire immédiate et sur le long-terme des familles vulnérables affectées par le tremblement de terre dans les zones rurales et périurbaines à travers des activités de CFW de réhabilitation des infrastructures agricoles clés.",,,3/23/2010,12/31/2010,"$746,421",Food Security and Agriculture,,Agriculture,"Livelihoods, Food security",Friends of ACTED,,Emergency Response Relief Fund for Haiti (OCHA/ERRF),," 20,000 ",,Affected population(s),Haiti,Ouest,Léogâne,Léogâne,,,,,Marianna Franco,Program Development Manager,marianna.franco@acted.org,,30-Jul-10,20-Dec-10,
